,Date,Day,Country-Retailer,Stage,Brand,Name,Nett Weight,Weight (g),Price (SGD),Price per 100g,In Stock,Country of Origin,Dietary Attributes
187,2022/06/26,Sun,SG-Fairprice,Stage 5,Abbott Grow,Abbott Grow School,900g,900,33.10,3.68,Yes,Singapore,"Halal, Healthier Choice"
188,2022/06/26,Sun,SG-Fairprice,Stage 5,Abbott Grow,"Abbott Grow School (Buy 2 for $59.20, Save $7.00)",2x900g,1800,59.20,3.29,Yes,Singapore,"Halal, Healthier Choice"
189,2022/06/26,Sun,SG-Fairprice,Stage 5,Abbott Grow,Abbott Grow School Milk Formula - 6 Years Onward,1.8kg,1800,61.20,3.40,Yes,Singapore,"Healthier Choice, Halal"
190,2022/06/26,Sun,SG-Fairprice,Stage 5,Abbott Grow,"Abbott Grow School Milk Formula - 6 Years Onward (Buy 2 for $115.00, Save $7.40)",2x1.8kg,3600,115.00,3.19,Yes,Singapore,"Healthier Choice, Halal"
191,2022/06/26,Sun,SG-Fairprice,Stage 5,Dumex,Dumex Dugro Growing Up Milk - Step 5,700g,700,19.90,2.84,Yes,Thailand,"Halal, Healthier Choice"
192,2022/06/26,Sun,SG-Fairprice,Stage 5,Dumex,Dumex Durgro Growing Up MIlk - Step 5,1.6kg,1600,43.00,2.69,Yes,Thailand,"Halal, Healthier Choice"
193,2022/06/26,Sun,SG-Fairprice,Stage 5,Enfagrow,Enfagrow Pro A+ Growing Up Milk Powder Formula - Stage 5,6x1.8kg(ctn),10800,453.90,4.20,Yes,Netherlands,Halal
194,2022/06/26,Sun,SG-Fairprice,Stage 5,Enfagrow,Enfagrow Pro A+ Growing Up Milk Powder Formula - Stage 5,6x900g(ctn),5400,227.70,4.22,Yes,Netherlands,Halal
195,2022/06/26,Sun,SG-Fairprice,Stage 5,Enfagrow,Enfagrow Pro A+ Growing Up Milk Powder Formula - Stage 5,1.8kg,1800,75.65,4.20,Yes,Netherlands,Halal
196,2022/06/26,Sun,SG-Fairprice,Stage 5,Enfagrow,Enfagrow Pro A+ Growing Up Milk Powder Formula - Stage 5,900g,900,37.95,4.22,Yes,Netherlands,Halal
197,2022/06/26,Sun,SG-Fairprice,Stage 5,Pediasure,PediaSure 10+ Milk Powder - Classic Vanilla,850g,850,47.70,5.61,Yes,Singapore,Halal
